PreCoordinated,Target Type,Major Category,Minor Category,Anatomic Group,N Characters,TG263-Primary Name,TG-263-Reverse Order Name,Description,FMAID,SNOMED-CT Code,SNOMEDCT Term,Qualifiers,Notes,Summary,,,,,,
,Anatomic,Artery,Aorta,Thorax,7,A_Aorta,Aorta_A,Aorta,3734,15825003,Aortic structure (body structure),,,,,,,,,
,Anatomic,Artery,Aorta,Thorax,11,A_Aorta_Asc,Asc_Aorta_A,Ascending Aorta,3736,54247002,Ascending aorta structure (body Structure),,,,,,,,,
,Anatomic,Artery,Brachiocephalic,Thorax,15,A_Brachiocephls,Brachiocephls_A,Brachiocephalic Artery,3932,425444002,Branch of brachiocephalic artery (body structure),,,,,,,,,
,Anatomic,Artery,Carotid,Head and Neck,9,A_Carotid,Carotid_A,Common Carotid Artery,3939,69105007,Carotid artery structure (body structure),,,,,,,,,
x,Anatomic,Artery,Carotid,Head and Neck,11,A_Carotid_L,L_Carotid_A,Carotid Artery,4058,69105007,Carotid artery structure (body structure),left,,,,,,,,
x,Anatomic,Artery,Carotid,Head and Neck,11,A_Carotid_R,R_Carotid_A,Carotid Artery,3941,69105007,Carotid artery structure (body structure),right,,,,,,,,
,Anatomic,Artery,Celiac,Abdomen,8,A_Celiac,Celiac_A,Celiac Artery,50737,57850000,Structure of celiac artery (body structure),,,,,,,,,
,Anatomic,Artery,Coronary,Head and Neck,10,A_Coronary,Coronary_A,Coronary Artery,49893,41801008,Coronary artery structure (body structure),,,,,,,,,
x,Anatomic,Artery,Coronary,Thorax,12,A_Coronary_L,L_Coronary_A,Coronary Artery Left,50040,41801008,Coronary artery structure (body structure),left,,,,,,,,
x,Anatomic,Artery,Coronary,Thorax,12,A_Coronary_R,R_Coronary_A,Coronary Artery Right,50039,41801008,Coronary artery structure (body structure),right,,,,,,,,
x,Anatomic,Artery,Femoral,Limb,16,A_Femoral_Cflx_L,L_Cflx_Femoral_A,Circumflex Left Femoral Artery,,13792001,Structure of medial circumflex femoral artery (body structure),left,The problem here is that medial & lateral circumflex femoral arteries refer to two SEPARATE branches/arteries that come off the deep femoral artery.  This relates to area covered by TWO SNOMED codes: 13792001 (structure of medial cicumflex femoral artery (body structure) AND 11208004 (structure of lateral circumflex femoral artery (body structure),Discuss with Chuck Mayo,,,,,,
x,Anatomic,Artery,Femoral,Limb,16,A_Femoral_Cflx_R,R_Cflx_Femoral_A,Circumflex Right Femoral Artery,,13792001,Structure of medial circumflex femoral artery (body structure),right,,Discuss with Chuck Mayo,,,,,,
x,Anatomic,Artery,Femoral,Limb,11,A_Femoral_L,L_Femoral_A,Femoral Artery Left,70250,7657000,Structure of femoral artery (body structure),left,,,,,,,,
x,Anatomic,Artery,Femoral,Limb,11,A_Femoral_R,R_Femoral_A,Femoral Artery Right,70249,7657000,Structure of femoral artery (body structure),right,,,,,,,,
x,Anatomic,Artery,Humeral,Limb,16,A_Humeral_Cflx_L,L_Cflx_Humeral_A,Circumflex Humeral Artery Left,,244314003,Circumflex humeral artery (body structure),Left,,,,,,,,
x,Anatomic,Artery,Humeral,Limb,,A_Humeral_Cflx_R,R_Cflx_Humeral_A,Circumflex Humeral Artery Right,,244314003,Circumflex humeral artery (body structure),right,,,,,,,,
x,Anatomic,Artery,Humeral,Limb,11,A_Humeral_L,L_Humeral_A,Humeral Artery Left,,244314003,Circumflex humeral artery (body structure),Left,,,,,,,,
x,Anatomic,Artery,Humeral,Limb,11,A_Humeral_R,R_Humeral_A,Humeral Artery Right,,244314003,Circumflex humeral artery (body structure),right,,,,,,,,
x,Anatomic,Artery,Hypophyseal,Head and Neck,15,A_Hypophyseal_I,I_Hypophyseal_A,Hypophyseal Artery Inferior,49846,74200005,Structure of inferior hypophyseal artery (body structure),,,,,,,,,
x,Anatomic,Artery,Hypophyseal,Head and Neck,15,A_Hypophyseal_S,S_Hypophyseal_A,Hypophyseal Artery Superior,49849,55601007,Structure of superior hypophyseal artery (body structure) |,,,,,,,,,
x,Anatomic,Artery,Iliac,Pelvis,14,A_Iliac_Cflx_L,L_Cflx_Iliac_A,Circumflex Left Iliac Artery,,244327004,Circumflex iliac artery (body structure),Left,,,,,,,,
x,Anatomic,Artery,Iliac,Pelvis,14,A_Iliac_Cflx_R,R_Cflx_Iliac_A,Circumflex Right Iliac Artery,,244327004,Circumflex iliac artery (body structure),right,,,,,,,,
x,Anatomic,Artery,Iliac,Pelvis,13,A_Iliac_Ext_L,L_Ext_Iliac_A,External iliac artery Left,18807,113269004,Structure of external iliac artery (body structure),Left,,,,,,,,
x,Anatomic,Artery,Iliac,Pelvis,13,A_Iliac_Ext_R,R_Ext_Iliac_A,External iliac artery Right,18806,113269004,Structure of external iliac artery (body structure),right,,,,,,,,
x,Anatomic,Artery,Iliac,Pelvis,13,A_Iliac_Int_L,L_Int_Iliac_A,Internal iliac artery Left,18810,90024005,Structure of internal iliac artery (body structure),Left,,,,,,,,
x,Anatomic,Artery,Iliac,Pelvis,13,A_Iliac_Int_R,R_Int_Iliac_A,Internal iliac artery Right,18809,90024005,Structure of internal iliac artery (body structure),right,,,,,,,,
x,Anatomic,Artery,Iliac,Pelvis,9,A_Iliac_L,L_Iliac_A,Common iliac artery Left,14766,73634005,Common iliac artery structure (body structure),Left,,,,,,,,
x,Anatomic,Artery,Iliac,Pelvis,9,A_Iliac_R,R_Iliac_A,Common iliac artery Right,14765,73634005,Common iliac artery structure (body structure),right,,,,,,,,
,Anatomic,Artery,LAD,Thorax,5,A_LAD,LAD_A,"Anterior interventricular branch of LCA
 (left anterior descending artery)",3862,33795007,"""Structure of anterior descending branch of left coronary artery (body structure)""",,,,,,,,,
x,Anatomic,Artery,Mesenteric,Abdomen,14,A_Mesenteric_I,I_Mesenteric_A,Inferior mesenteric artery ,14750,33795007,Structure of inferior mesenteric artery (body structure),,,,,,,,,
x,Anatomic,Artery,Mesenteric,Abdomen,14,A_Mesenteric_S,S_Mesenteric_A,Superior mesenteric artery ,14749,42258001,Superior mesenteric artery structure (body structure) ,,,,,,,,,
,Anatomic,Artery,Pulmonary,Thorax,11,A_Pulmonary,Pulmonary_A,Pulmonary Artery,66326,81040000,Pulmonary artery structure (body structure),,,,,,,,,
,Anatomic,Artery,Subclavian,Thorax,12,A_Subclavian,Subclavian_A,Subclavian Artery,3951,36765005,Structure of subclavian artery (body structure),,,,,,,,,
x,Anatomic,Artery,Subclavian,Thorax,14,A_Subclavian_L,L_Subclavian_A,Subclavian Artery Left,4694,36765005,Structure of subclavian artery (body structure),left,,,,,,,,
x,Anatomic,Artery,Subclavian,Thorax,14,A_Subclavian_R,R_Subclavian_A,Subclavian Artery Right,3953,36765005,Structure of subclavian artery (body structure),right,,,,,,,,
,Anatomic,Artery,Vertebral,Thorax,11,A_Vertebral,Vertebral_A,Vertebral arteries,3956,85234005,Structure of vertebral artery (body structure),,,,,,,,,
x,Anatomic,Artery,Vertebral,Thorax,13,A_Vertebral_L,L_Vertebral_A,Vertebral arteries left,4066,85234005,Structure of vertebral artery (body structure),left,,,,,,,,
x,Anatomic,Artery,Vertebral,Thorax,13,A_Vertebral_R,R_Vertebral_A,Vertebral arteries right,3958,85234005,Structure of vertebral artery (body structure),right,,,,,,,,
x,Anatomic,Bone,Pelvic,Pelvis,12,Acetabulum_L,L_Acetabulum,Acetabulum,16599,37783008,Bone structure of acetabulum (body structure),Left,,,,,,,,
x,Anatomic,Bone,Pelvic,Pelvis,12,Acetabulum_R,R_Acetabulum,Acetabulum,16598,37783008,Bone structure of acetabulum (body structure),Right,,,,,,,,
,Anatomic,Bone,Pelvic,Pelvis,11,Acetabulums,Acetabulums,Acetabulum,16579,37783008,Bone structure of acetabulum (body structure),,,,,,,,,
x,Anatomic,Lung,,Thorax,11,AirWay_Dist,Dist_AirWay,Distal Airway,,89187006,Airway structure (body structure),distal,,,,,,,,
x,Anatomic,Lung,,Thorax,11,AirWay_Prox,Prox_AirWay,Proximal Airway,,89187006,Airway structure (body structure),proximal,,,,,,,,
,Anatomic,Bowel,Anus,Pelvis,4,Anus,Anus,Anus,15711,123956007,Anus part (body structure),,,,,,,,,
,Anatomic,Bowel,Appendix,Abdomen,8,Appendix,Appendix,Appendix,14542,66754008,Appendix structure (body structure) ,,,,,,,,,
,Anatomic,Cartilage,Arytenoid,Head and Neck,9,Arytenoid,Arytenoid,Arytenoid cartilage,55109,77578007,Arytenoid cartilage structure (body structure),,,,,,,,,
x,Anatomic,Cartilage,Arytenoid,Head and Neck,11,Arytenoid_L,L_Arytenoid,Arytenoid cartilage Left,55114,77578007,Arytenoid cartilage structure (body structure),left,,,,,,,,
x,Anatomic,Cartilage,Arytenoid,Head and Neck,11,Arytenoid_R,R_Arytenoid,Arytenoid cartilage Right,55113,77578007,Arytenoid cartilage structure (body structure),right,,,,,,,,
,Anatomic,Heart,Atrium,Thorax,6,Atrium,Atrium,Atrium of the heart ,7099,59652004,Atrial structure (body structure),,,,,,,,,
x,Anatomic,Heart,Atrium,Thorax,8,Atrium_L,L_Atrium,Atrium of the heart Left,7097,59652004,Atrial structure (body structure),left,,,,,,,,
x,Anatomic,Heart,Atrium,Thorax,8,Atrium_R,R_Atrium,Atrium of the heart Right,7096,59652004,Atrial structure (body structure),right,,,,,,,,
,Non_Anatomic,Bowel,,Abdomen,9,Bag_Bowel,Bowel_Bag,Bowel Bag,,,339648008 Colostomy bag (physical object),,RTTD 100521 -- Exclude,,,,,,,
,Non_Anatomic,Devices,,Body,10,Bag_Ostomy,Ostomy_Bag,Ostomy Bag,,,705336001 -Intestinal ostomy bag (physical object),,RTTD 100521 -- Exclude,,,,,,,
,Anatomic,Bowel,Bile,Abdomen,15,BileDuct_Common,Common_BileDuct,Common bile duct,14667,79741001,Common bile duct structure (body structure),,,,,,,,,
,Anatomic,Bladder,,Pelvis,7,Bladder,Bladder,Urinary Bladder,15900,89837001,Urinary bladder structure (body structure),,,,,,,,,
,Anatomic,Bladder,,Pelvis,12,Bladder_Wall,Bladder_Wall,Bladder Wall,15902,393006,Structure of wall of urinary bladder (body structure),,,,,,,,,
,Derived,Bladder,,Pelvis,11,Bladder-CTV,Bladder-CTV,Bladder minus CTV,,,,,,,,,,,,
,Anatomic,Bowel,,Abdomen,11,Colon_PTVxx,PTVxx_Colon,PRV created with xx mm expansion on the left optic nerve,,PTV,PTV,,,,,,,,,
,Derived,Body,,Body,8,Body-PTV,Body-PTV,Body minus PTV,,,,,,,,,,,,
,Non_Anatomic,Bolus,,Body,5,Bolus,Bolus,,,," 462629001 Radiation therapy bolus, reusable (physical object) |",,RTTD 100521 -- Exclude,,,,,,,
,Non_Anatomic,Bolus,,Body,10,Bolus_xxmm,xxmm_Bolus,"Bolus that is xx millimeters thick e.g. Bolus_03mm, Bolus_10mm",,,,,,,,,,,,
,Anatomic,Bone,,Body,4,Bone,Bone,Bone,30317,119186007,Bone part (body structure),,,,,,,,,
,Anatomic,Bone,Ethmoid,Head and Neck,12,Bone_Ethmoid,Ethmoid_Bone,Ethmoid Bone,52740,52374004,Ethmoid bone structure (body structure),,,,,,,,,
,Anatomic,Bone,Frontal,Head and Neck,12,Bone_Frontal,Frontal_Bone,Frontal Bone,52734,74872008,Frontal bone structure (body structure),,,,,,,,,
,Anatomic,Bone,Hyoid,Head and Neck,10,Bone_Hyoid,Hyoid_Bone,Hyoid Bone,52749,21387005,Hyoid bone structure (body structure),,,,,,,,,
,Anatomic,Bone,Ilium,Pelvis,10,Bone_Ilium,Ilium_Bone,Ilium,42832,22356005,Bone structure of ilium (body structure),,,,,,,,,
x,Anatomic,Bone,Ilium,Pelvis,12,Bone_Ilium_L,L_Ilium_Bone,Ilium Left,16591,22356005,Bone structure of ilium (body structure),left,,,,,,,,
x,Anatomic,Bone,Ilium,Pelvis,12,Bone_Ilium_R,R_Ilium_Bone,Ilium Right,16590,22356005,Bone structure of ilium (body structure),right,,,,,,,,
,Anatomic,Ear,Incus,Head and Neck,10,Bone_Incus,Incus_Bone,Incus,52752,421793000,Bone structure of incus (body structure),,,,,,,,,
x,Anatomic,Ear,Incus,Head and Neck,12,Bone_Incus_L,L_Incus_Bone,Incus Left,74051,421793000,Bone structure of incus (body structure),left,,,,,,,,
x,Anatomic,Ear,Incus,Head and Neck,12,Bone_Incus_R,R_Incus_Bone,Incus Right,74050,421793000,Bone structure of incus (body structure),right,,,,,,,,
x,Anatomic,Bone,Ischium,Pelvis,14,Bone_Ischium_L,L_Ischium_Bone,Ischium Left,16594,85710004,Bone structure of ischium (body structure),left,,,,,,,,
x,Anatomic,Bone,Ischium,Pelvis,14,Bone_Ischium_R,R_Ischium_Bone,Ischium Right,16593,85710004,Bone structure of ischium (body structure),right,,,,,,,,
,Anatomic,Bone,Lacrimal,Head and Neck,13,Bone_Lacrimal,Lacrimal_Bone,Lacrimal Bone,52741,6229007,Lacrimal bone structure (body structure),,,,,,,,,
x,Anatomic,Bone,Lacrimal,Head and Neck,15,Bone_Lacrimal_L,L_Lacrimal_Bone,Lacrimal Bone Left,53646,6229007,Lacrimal bone structure (body structure),left,,,,,,,,
x,Anatomic,Bone,Lacrimal,Head and Neck,15,Bone_Lacrimal_R,R_Lacrimal_Bone,Lacrimal Bone Right,53645,6229007,Lacrimal bone structure (body structure),right,,,,,,,,
,Anatomic,Bone,Mandible,Head and Neck,13,Bone_Mandible,Mandible_Bone,Mandible,52748,91609006,Bone structure of mandible (body structure),,,,,,,,,
,Anatomic ,Bone,Mastoid,Head and Neck,12,Bone_Mastoid,Mastoid_Bone,Both Mastoids,52872,59066005,Mastoid structure (body structure),,,,,,,,,
x,Anatomic,Bone,Mastoid,Head and Neck,14,Bone_Mastoid_L,L_Mastoid_Bone,Left Mastoid Bone,52874,59066005,Mastoid structure (body structure),left,,,,,,,,
x,Anatomic,Bone,Mastoid,Head and Neck,14,Bone_Mastoid_R,R_Mastoid_Bone,Right Mastoid Bone,52873,59066005,Mastoid structure (body structure),right,,,,,,,,
,Anatomic,Bone,Nasal,Head and Neck,10,Bone_Nasal,Nasal_Bone,Nasal Bone,52745,74386004,Nasal bone structure (body structure),,,,,,,,,
x,Anatomic,Bone,Nasal,Head and Neck,12,Bone_Nasal_L,L_Nasal_Bone,Nasal Bone Left,53648,74386004,Nasal bone structure (body structure),left,,,,,,,,
x,Anatomic,Bone,Nasal,Head and Neck,12,Bone_Nasal_R,R_Nasal_Bone,Nasal Bone Right,53647,74386004,Nasal bone structure (body structure),right,,,,,,,,
,Anatomic,Bone,Occipital  ,Head and Neck,14,Bone_Occipital,Occipital_Bone,Occipital Bone,52735,31640002,Occipital bone structure (body structure),,,,,,,,,
,Anatomic,Bone,Palatine,Head and Neck,13,Bone_Palatine,Palatine_Bone,Palatine  bone,52746,51283005,Palatine bone structure (body structure),,,,,,,,,
x,Anatomic,Bone,Palatine,Head and Neck,15,Bone_Palatine_L,L_Palatine_Bone,Palatine bone Left,53656,51283005,Palatine bone structure (body structure),left,,,,,,,,
x,Anatomic,Bone,Palatine,Head and Neck,15,Bone_Palatine_R,R_Palatine_Bone,Palatine bone Right,53655,51283005,Palatine bone structure (body structure),right,,,,,,,,
,Anatomic,Bone,Parietal,Head and Neck,13,Bone_Parietal,Parietal_Bone,Parietal bone,9613,24924006,Parietal bone structure (body structure),,,,,,,,,
x,Anatomic,Bone,Parietal,Head and Neck,15,Bone_Parietal_L,L_Parietal_Bone,Parietal bone Left,52789,24924006,Parietal bone structure (body structure),left,,,,,,,,
x,Anatomic,Bone,Parietal,Head and Neck,15,Bone_Parietal_R,R_Parietal_Bone,Parietal bone Right,52788,24924006,Parietal bone structure (body structure),right,,,,,,,,
,Anatomic,Bone,Pelvic,Pelvis,11,Bone_Pelvic,Pelvic_Bone,Pelvic Bones (Bony Pelvis),16580,118645006,Structure of innominate bone and/or sacrum and/or coccyx (body structure),,,,,,,,,
x,Anatomic,Bone,Pelvic,Pelvis,13,Bone_Pelvic_L,L_Pelvic_Bone,Bony Pelvis Left,20227,118645006,Structure of innominate bone and/or sacrum and/or coccyx (body structure),left,,,,,,,,
x,Anatomic,Bone,Pelvic,Pelvis,13,Bone_Pelvic_R,R_Pelvic_Bone,Bony Pelvis Right,20226,118645006,Structure of innominate bone and/or sacrum and/or coccyx (body structure),right,,,,,,,,
,Anatomic,Bone,Sphenoid,Head and Neck,13,Bone_Sphenoid,Sphenoid_Bone,Sphenoid Bone,52736,73117003,Sphenoid bone structure (body structure),,,,,,,,,
,Anatomic,Bone,Temporal,Head and Neck,13,Bone_Temporal,Temporal_Bone,Temporal Bone,52737,60911003,Temporal bone structure (body structure),,,,,,,,,
x,Anatomic,Bone,Temporal,Head and Neck,15,Bone_Temporal_L,L_Temporal_Bone,Temporal Bone Left,52739,60911003,Temporal bone structure (body structure),Left,,,,,,,,
x,Anatomic,Bone,Temporal,Head and Neck,15,Bone_Temporal_R,R_Temporal_Bone,Temporal Bone Right,52738,60911003,Temporal bone structure (body structure),Right,,,,,,,,
x,Anatomic,Bone,Zygomatic,Head and Neck,16,Bone_Zygomatic_L,L_Zygomatic_Bone,Zygomatic Bone Left,52893,13881006,Zygomatic bone structure (body structure),left,,,,,,,,
x,Anatomic,Bone,Zygomatic,Head and Neck,16,Bone_Zygomatic_R,R_Zygomatic_Bone,Zygomatic Bone Right,52892,13881006,Zygomatic bone structure (body structure),right,,,,,,,,
,Anatomic,Bone,Zygomatic,Head and Neck,15,Bone_Zygomatics,Zygomatics_Bone,Zygomatic Bone,52747,13881006,Zygomatic bone structure (body structure),,,,,,,,,
